cep,categoria,area,preco

18/10/21
59000012,P,103,2.591
59000013,P,103,2.521
59000018,P,103,2.568
59000041,P,74,1.396
59000032,P,74,1.383
59000040,P,74,1.374
59000071,P,74,1.350
59000058,P,74,1.383
59000045,P,74,1.389
59000034,P,74,1.377
59000012,P,74,1.383
59000071,P,74,1.325
59000039,P,74,1.375
59000061,P,74,1.351
59000056,P,74,1.373
59000083,P,74,1.369
59000097,P,74,1.336
59000056,P,74,1.361
59000071,P,74,1.340
59000057,P,74,1.389
59000014,P,74,1.348
59000027,P,74,1.341
59000055,P,74,1.336
59000096,P,74,1.363
===========================
59153050,C,333333,50.000
59000011,P,38,43.026
59000017,P,38,43.036
59000014,P,38,43.029
59000016,P,38,43.079
59000012,P,38,43.064
59000011,P,38,43.023
59000017,P,38,43.076
59000014,P,38,43.052
59000015,P,38,43.016
59000018,P,38,43.090
59000012,P,38,43.073
59000010,P,38,43.093
59000018,P,38,43.056
59000011,P,38,43.080
59000017,P,38,43.068
59000012,P,38,43.037
59000010,P,38,47.066
59000015,P,38,47.057
59000014,P,38,47.047
59000015,P,38,47.074
59000012,P,38,47.049
59000016,P,38,47.065
59000017,P,38,47.069
59000016,P,38,47.084
59000011,P,38,47.078
59000016,P,38,43.061
59000015,P,38,47.079
59000017,P,38,47.097
59000018,P,38,47.073
59000012,P,38,47.043
59000015,P,38,47.031
59000012,P,38,47.067
59000016,P,38,47.082
59000014,P,38,47.060
59000018,P,38,47.090
59000016,P,38,47.083
59000011,P,38,47.051
59000010,P,38,47.096
59000011,P,38,47.024
59000013,P,38,47.038
59000010,P,38,47.032
59000011,P,38,47.065
59000015,P,38,47.058
59000018,P,38,47.078
59000013,P,38,47.095
59000013,P,38,47.089
59000010,P,38,47.026
59000013,P,38,47.032
59000014,P,38,47.021
59000013,P,38,47.082
59000014,P,38,47.038
59000017,P,38,47.053
59000015,P,38,47.056
59000012,P,38,47.051
59000015,P,38,47.065
59000018,P,38,47.050
59000012,P,38,47.044
59000012,P,38,47.067
59000011,P,38,47.061
59000015,P,38,47.043
59000015,P,38,47.064
59000017,P,38,47.062
59000013,P,38,47.074
